Message_ID,Timestamp_T_Plus,Source_ID,Device_Model,GPS_Lat,GPS_Long,Battery_Pct,Raw_Message_Text
MSG_040,00:00:20.500,UID_040,Phone,35.7184,139.8185,18,under desk shaking hard cant type well... help
MSG_041,00:00:21.000,UID_041,Galaxy,35.7185,139.8186,82,Shaking slowing maybe but aftershocks still strong
MSG_042,00:00:21.500,UID_042,Galaxy,35.7186,139.8187,83,Traffic signals down vehicles colliding at intersection
MSG_043,00:00:22.000,UID_043,Phone,35.7065,139.8065,82,ACTIVE_FIRE_REPORTED_CONBINI_FLAMES_VISIBLE
MSG_044,00:00:22.500,UID_044,iPhone,35.7066,139.8066,85,Fire reported at convenience store near neighborhood park
MSG_045,00:00:23.000,UID_045,iPhone,35.7067,139.8067,41,Lower body trapped by fallen cabinet requesting urgent assistance
MSG_046,00:00:23.500,UID_046,Galaxy,35.7068,139.8068,62,Continuous screaming heard from adjacent collapsed structure
MSG_047,00:00:24.000,UID_047,iPhone,35.7069,139.8069,87,Multiple wooden houses in Kyojima appear fully collapsed
MSG_048,00:00:24.500,UID_048,Sensor,35.7070,139.8070,95,PRESSURE_DROP_DOWNSTREAM_ISOLATION_SUCCESS
MSG_049,00:00:25.000,UID_049,Phone,35.6891,139.8161,06,help help help battery low
MSG_050,00:00:25.500,UID_050,Sensor,35.7100,139.8109,91,COMMERCIAL_GRID_POWER_LOSS BACKUP_SUPPLY_ACTIVE
